         1539948 function calls (1534962 primitive calls) in 20.755 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      4/1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:511(_parse)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
       49    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/_distutils_hack/__init__.py:101(find_spec)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
        1    0.000    0.000    0.000    0.000 {built-in method _curses.initscr}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/hashlib.py:1(<module>)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/pool.py:1(<module>)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
       14    0.000    0.000    0.000    0.000 /usr/lib/python3.13/hashlib.py:126(__get_openssl_constructor)
        7    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
       10    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
     1002    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      881    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_compiler.py:576(_code)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
      373    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:98(convert_to_error)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/hashlib.py:82(__get_builtin_constructor)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
        5    0.000    0.000    0.000    0.000 {built-in method _curses.newwin}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/heapq.py:1(<module>)
      6/1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_compiler.py:37(_compile)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
       84    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 {built-in method _curses.use_default_colors}
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       28    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/bisect.py:1(<module>)
      534    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       15    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/connection.py:174(close)
        1    0.000    0.000    0.000    0.000 {method 'clear' of '_curses.window' objects}
       10    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      279    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       98    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _curses.setupterm}
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
       84    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/_compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:955(start)
       40    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/util.py:453(__init__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      152    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       17    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:700(register)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/process.py:80(__init__)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:869(__init__)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/popen_fork.py:25(poll)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       43    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      272    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      127    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_joinable_thread}
      272    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        2    0.000    0.000    0.000    0.000 {method 'keypad' of '_curses.window' objects}
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/selectors.py:340(register)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_compiler.py:241(_optimize_charset)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
        4    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/__future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/importlib/_abc.py:1(<module>)
        7    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/subprocess.py:759(Popen)
